angDist,RAJ2000,DEJ2000,nobs,B-V,e_B-V,fuv_mag,nuv_mag,ipmag,gpmag,rpmag,present,type,class
0.575109,132.28696,8.827597,5,0.406,0.074,19.393,14.395,10.665,10.99,10.722,1,RS                            ,ROTATIONAL
0.690223,137.168045,5.269781,6,0.447,0.063,20.03,14.342,10.594,11.072,10.69,1,EW                            ,ECLIPSING
1.655394,132.389394,9.776044,7,0.434,0.069,19.122,13.929,10.012,10.285,10.056,1,ROT                           ,ROTATIONAL
1.040011,135.686244,4.371106,5,0.377,0.081,19.177,14.683,11.164,11.434,11.195,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.147374,140.499997,9.966653,5,1.084,0.16,22.183,19.203,11.876,13.227,12.327,1,RS                            ,ROTATIONAL
1.365645,129.729025,8.15734,5,0.271,0.213,17.399,14.689,12.731,12.706,12.369,1,ROT                           ,ROTATIONAL
0.208976,129.822715,8.315625,5,0.601,0.211,23.772,16.849,12.816,13.36,12.734,1,E                             ,ECLIPSING
0.27466,142.18954,8.168821,6,0.908,0.041,19.924,19.495,13.703,14.606,13.913,1,ROT                           ,ROTATIONAL
1.116389,135.444225,13.951491,5,0.463,0.061,22.236,16.135,11.616,11.963,11.678,1,ROT                           ,ROTATIONAL
0.440138,135.801869,10.512165,5,0.455,0.058,23.141,17.067,12.922,13.291,13.035,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.489297,137.587006,5.34753,5,0.41,0.559,23.115,18.039,14.097,14.322,14.152,1,RRAB                          ,RR_LYRAE
0.564518,137.159096,5.340112,5,0.463,0.044,22.894,17.74,13.761,14.077,13.8,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.406164,137.3052,5.488953,5,0.316,0.079,20.571,16.997,14.088,14.179,14.049,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.84295,141.993979,10.869464,8,0.484,0.075,21.66,16.354,12.5,12.92,12.6,1,DSCT|GDOR|SXPHE               ,ECLIPSING
0.825138,142.148524,11.00087,9,0.539,0.069,23.595,16.647,12.208,12.705,12.351,1,ROT                           ,ROTATIONAL
1.194892,139.860324,7.083174,5,0.325,0.517,22.563,18.592,15.233,15.386,15.275,1,RRAB                          ,RR_LYRAE
0.58961,131.613948,16.39815,5,0.77,0.113,22.726,20.245,14.728,15.39,14.902,1,EW                            ,ECLIPSING
1.285274,140.245862,6.984586,7,0.305,0.019,18.76,14.667,11.435,11.558,11.479,1,DSCT|GDOR|SXPHE               ,ECLIPSING
