RAJ2000,DEJ2000
133.605115,3.852876
126.663566,9.068446
132.541109,9.703434
126.972785,9.062184
133.806885,3.821751
137.222312,3.914606
133.817616,3.836196
137.214266,3.939659
140.886829,6.081285
132.573431,9.747249
140.818758,6.131497
133.564573,9.80764
133.834425,4.107224
129.089221,7.376702
128.959319,7.281968
134.566627,5.362881
133.741764,4.147226
139.732023,5.755549
129.039653,7.390363
133.917576,4.174556
133.858995,9.879654
139.924154,5.749913
128.980224,7.371978
134.479385,5.436179
139.885421,5.761947
133.90271,9.904156
126.570618,9.007643
126.538865,9.037322
139.827129,5.787863
128.413065,7.027204
126.597447,9.043415
137.504566,3.963738
126.650598,9.069693
128.212692,7.001995
128.172157,7.028768
128.199856,7.047431
134.019111,4.359247
140.194907,5.859847
134.611188,5.5281
134.412193,0.506504
137.063734,9.413129
136.208892,13.561909
133.396889,9.913868
136.154427,13.554126
140.605583,5.993276
133.426391,9.947473
128.609952,7.187552
140.510229,5.997939
137.32799,4.128409
135.04879,5.453537
128.55134,7.202836
137.117074,9.571887
128.440564,7.145247
135.167649,5.529038
126.812626,9.252029
128.347329,7.20269
126.837043,9.283182
128.474605,7.246072
137.409132,9.466052
136.29442,13.663514
128.149215,7.09981
128.185067,7.133885
136.253383,13.706657
140.112511,5.933466
135.0319,5.616796
135.032096,5.616726
134.967652,5.616427
128.062197,7.112247
128.074017,7.127815
135.148344,5.580455
136.395938,13.796622
128.040866,7.168274
140.225366,6.027182
135.211648,5.688779
134.574267,0.60848
134.574268,0.608481
140.331381,6.150119
128.266399,7.255938
137.61307,9.64352
128.395902,7.286899
135.038438,5.704788
135.05595,5.703663
135.091573,5.731641
139.587276,5.751217
137.247191,9.59474
128.364831,7.424814
128.284123,7.423517
134.775676,5.627804
139.616609,5.862581
135.415921,5.383622
133.653327,3.870482
126.931444,9.154986
135.396044,5.412718
136.934269,3.772851
132.389397,9.757774
133.653924,3.914831
132.567847,9.790682
132.510446,9.838502
137.004706,3.839472
141.414153,6.162213
126.785999,9.11831
136.961186,3.87645
141.246947,6.072994
137.034621,3.921114
135.255027,5.314321
135.269867,5.377562
136.885577,3.88044
135.266528,5.395457
126.976376,9.20399
133.575211,3.893115
129.11027,6.982556
135.222604,5.415343
136.274445,9.125868
136.321152,9.202713
126.955396,9.225802
133.524544,3.909091
135.089015,5.353444
135.144912,5.362173
137.069062,3.966617
135.21665,5.49431
137.068565,4.056858
136.447876,9.295962
133.676832,4.014965
141.182207,6.215167
135.331186,5.440064
136.63856,9.39277
133.726269,4.054555
136.52876,9.371932
135.394388,5.513984
129.181454,7.12809
141.094894,6.239299
129.302469,7.176806
126.393678,8.874305
135.372803,5.556164
141.09877,6.378265
129.172259,7.177194
126.440395,8.931312
136.142637,9.298975
136.134554,9.33158
132.683498,9.819605
129.108988,7.202138
136.222694,9.411238
134.738415,5.17554
134.751685,5.186914
137.607626,3.758499
134.068401,4.058191
132.570809,9.882747
132.618329,9.897425
141.289106,6.503026
133.833876,4.0078
141.269695,6.51701
134.587742,5.228529
133.847686,4.069935
134.513241,5.21358
132.752132,9.943052
134.653045,5.234004
134.133017,4.054566
136.443244,9.558956
134.156135,4.2035
133.619421,9.646904
134.098497,4.184295
129.034252,7.243867
133.987439,4.168318
134.756088,5.373114
137.275891,9.220678
134.761691,5.397774
128.987498,7.255446
140.127556,5.800335
134.751468,5.43012
137.413917,9.295193
137.341249,9.315197
134.812484,5.428773
137.377756,9.348967
129.104051,7.285687
137.264726,9.282305
134.142361,4.296855
137.478683,9.638403
139.437278,5.83308
128.705462,7.303571
139.542554,5.916172
134.552567,0.620706
137.506222,9.753153
139.297784,3.708321
134.831449,5.743882
139.245672,3.738115
137.407191,9.746662
134.574253,0.60848
137.434226,9.763886
134.795367,5.746814
134.81831,5.750874
134.953152,5.751069
128.540245,7.300109
139.263949,3.804852
139.812935,6.012064
134.93224,5.766073
139.197763,3.854442
128.68053,7.403007
139.62829,6.02853
136.088929,13.65169
128.633426,7.442305
139.28164,3.833946
133.248396,9.943499
136.200088,13.731803
139.478851,5.944539
136.735481,17.632208
139.009478,3.763128
133.302804,10.08255
128.951403,7.446343
128.969163,7.457992
135.679362,5.41455
137.050479,9.56715
133.28631,10.147761
139.033628,3.863067
135.766442,5.496373
128.802127,7.46519
133.28008,10.158383
135.73627,5.526454
134.387445,0.541844
136.011556,13.820392
136.613224,9.559013
135.620882,5.484955
138.9774,3.925718
139.104224,3.942269
136.61643,9.608543
139.074844,3.999086
136.525955,9.57369
136.557288,9.589847
133.426022,10.240497
139.294025,3.959607
139.307427,3.974206
134.289547,4.260747
139.108581,4.021116
136.55909,9.644632
139.491089,6.095014
136.196051,13.881807
134.375973,4.288448
128.564939,7.468811
136.110356,13.864639
136.35989,17.564086
135.832819,5.65097
136.257957,13.947604
128.483188,7.478055
135.873328,5.694589
128.393929,7.513184
139.625414,6.200672
139.629904,4.028454
139.501405,6.194677
136.140216,17.647771
139.999053,6.051905
133.052823,10.326029
134.165267,4.302479
134.183794,4.326333
134.160691,4.332102
133.241428,10.264494
139.867729,6.081888
140.023358,6.189495
128.50633,7.620273
135.513119,5.688964
140.364244,6.866079
135.7379,14.058859
130.578334,9.091718
133.302494,16.438457
140.428058,6.877574
135.735514,10.121767
128.092605,12.652635
135.673231,10.133329
128.065748,12.657019
134.496215,5.130905
130.252775,8.979593
134.491807,5.16911
135.703968,10.196442
135.837573,14.081492
135.707575,10.170093
134.185077,5.650532
136.391471,9.607856
136.021269,14.17855
134.1051,4.989608
128.357313,12.723438
130.271945,9.049264
135.827889,14.18338
128.314709,12.756843
140.521261,7.000495
134.130085,5.062926
134.278919,5.085857
128.357847,12.796133
134.069079,5.054893
135.902818,14.251132
130.470223,9.108701
128.25948,12.826377
134.117879,5.144028
134.123101,5.129688
135.565475,14.075877
141.876007,6.136419
134.263482,5.123769
141.951361,6.19355
135.653072,14.185794
142.253598,6.207383
134.341582,5.274213
142.167929,6.260654
135.806917,14.279885
142.084068,6.258323
134.307114,5.364205
141.926365,6.249865
136.038803,14.22209
136.186203,14.31067
136.168837,14.346731
141.82046,6.362697
136.037407,14.330087
138.532097,4.393499
138.705162,4.432939
142.031348,6.491363
127.963062,7.198894
138.750308,4.552723
138.310104,4.364118
128.109498,7.342824
138.348741,4.468895
138.350989,4.458324
138.273079,4.506795
133.539722,12.060186
128.009635,7.414797
138.345436,4.54341
133.865214,5.791513
131.430235,9.084782
133.343421,12.082554
133.421334,12.053681
142.554056,6.577276
128.24176,7.529992
136.094527,10.107903
133.355049,12.118244
142.406458,6.56145
136.074582,10.131102
138.65085,4.620293
127.754158,12.761069
142.629892,6.642127
136.054358,10.198959
142.502782,6.666001
135.287486,6.108543
127.830219,7.217866
136.03899,9.739533
134.217339,12.55293
135.687338,5.996827
134.156017,4.709671
140.133648,6.427391
135.847614,6.215009
140.299359,6.503784
135.656629,9.579175
135.866718,6.234472
135.877591,6.251129
127.932174,12.447244
128.105341,12.480638
135.495241,9.637799
128.042104,12.480088
134.142809,4.878508
127.925418,12.470689
127.808758,12.479556
127.878926,12.546295
140.385593,6.671254
135.394696,9.7104
128.386596,12.463629
140.239653,6.658676
128.230774,12.413508
135.688308,9.641222
135.750975,9.655627
133.759155,4.918556
135.457726,6.340467
133.199739,16.207371
133.240851,16.207126
134.065404,4.911858
135.672884,6.379412
140.342926,6.767535
133.976002,4.953241
133.243596,16.299357
130.389572,8.793114
140.323342,6.777391
133.343948,16.288193
133.355637,16.311838
133.924829,4.994886
140.67695,6.736295
133.391684,16.33078
135.687045,6.524466
135.963119,9.826722
135.725238,6.56019
133.301597,16.321021
134.346614,4.856334
134.316953,4.854774
135.960814,9.957701
134.340991,4.868818
130.299838,8.861667
133.007939,16.27302
135.518264,9.764544
128.439091,12.64301
128.413809,12.643844
134.264254,4.904328
133.114086,16.340711
134.146561,5.534548
132.990127,16.30052
135.495104,9.869815
133.054864,16.334215
130.688001,8.955097
135.412503,9.921079
135.414082,9.934524
128.459127,12.740794
135.537283,9.91979
140.417964,6.770571
130.534017,9.000991
133.24906,16.347607
135.619262,13.960244
133.31305,16.416394
130.684367,9.067831
140.546171,6.929843
135.74877,10.035585
128.290256,12.625476
135.776447,13.91456
134.237658,4.428441
133.168526,10.33416
128.647764,7.522709
134.46065,4.355946
128.615851,7.55645
139.893325,6.183139
128.635796,7.593642
135.732326,5.755417
128.768143,7.57606
133.57451,10.300759
134.630477,4.484383
128.729226,7.604492
136.159873,17.703234
135.851913,5.851705
136.124022,14.062625
134.5474,4.505367
128.826137,7.641911
136.141113,17.759276
136.036623,14.030748
134.538441,4.512706
139.969331,6.317931
134.36854,4.431136
134.525415,0.653357
140.096183,6.413654
128.73979,7.680092
134.335173,4.49634
133.582809,10.427957
136.029607,17.765183
134.498222,4.540548
134.498769,0.657313
136.404939,17.647232
136.357428,17.630703
136.251102,14.001139
139.67425,6.284015
136.37978,17.697257
139.638459,6.320835
139.799579,6.356602
136.481976,17.790873
136.333888,17.688922
136.097095,5.897951
136.400198,17.762929
136.355371,17.833457
139.007865,4.140611
139.932002,6.420443
134.443444,4.610742
139.992165,6.380677
140.078331,6.44437
138.99641,4.204016
134.249299,4.601218
136.312757,5.974422
139.838385,6.359894
136.254403,5.998007
136.278572,14.085752
136.349153,6.017676
133.41315,10.50801
136.658212,17.890908
127.463304,6.758469
